assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
194.7595;906;2.716;"";18.086;24.8109;15.18;5.5891;0.8393;1.0523;0.6118;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.18;5.5891;0.8393;1.0523;0.6118;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.51;5.7106;0.8576;1.0752;0.6251;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.51;5.7106;0.8576;1.0752;0.6251;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.45;5.6885;0.8543;1.071;0.6227;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.45;5.6885;0.8543;1.071;0.6227;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;14.97;5.5118;0.8277;1.0377;0.6034;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;14.97;5.5118;0.8277;1.0377;0.6034;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;14.99;5.5191;0.8288;1.0391;0.6042;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;14.99;5.5191;0.8288;1.0391;0.6042;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;14.88;5.4786;0.8227;1.0315;0.5997;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;14.88;5.4786;0.8227;1.0315;0.5997;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.05;5.5412;0.8321;1.0433;0.6066;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.05;5.5412;0.8321;1.0433;0.6066;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.07;5.5486;0.8332;1.0447;0.6074;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.07;5.5486;0.8332;1.0447;0.6074;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;14.98;5.5155;0.8283;1.0384;0.6038;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;14.98;5.5155;0.8283;1.0384;0.6038;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.22;5.6038;0.8415;1.0551;0.6134;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.22;5.6038;0.8415;1.0551;0.6134;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.28;5.6259;0.8449;1.0592;0.6159;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.28;5.6259;0.8449;1.0592;0.6159;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.41;5.6738;0.852;1.0682;0.6211;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.41;5.6738;0.852;1.0682;0.6211;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.34;5.648;0.8482;1.0634;0.6183;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.34;5.648;0.8482;1.0634;0.6183;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.5;5.7069;0.857;1.0745;0.6247;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.5;5.7069;0.857;1.0745;0.6247;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.51;5.7106;0.8576;1.0752;0.6251;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.51;5.7106;0.8576;1.0752;0.6251;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.57;5.7327;0.8609;1.0793;0.6275;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.57;5.7327;0.8609;1.0793;0.6275;5553601751;BBDC3;906
194.7595;906;2.716;"";18.086;24.8109;15.82;5.8247;0.8747;1.0967;0.6376;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.82;5.8247;0.8747;1.0967;0.6376;5553601751;BBDC4;906
194.7595;906;2.716;"";18.086;24.8109;15.72;5.7879;0.8692;1.0897;0.6336;5553601751;BBDC4;906
