assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
"";9083;"";"";"";"";5300.0;"";"";"";"";"";NORD3;9083
"";9083;"";"";"";"";5500.0;"";"";"";"";"";NORD3;9083
"";9083;"";"";"";"";5500.0;"";"";"";"";"";NORD3;9083
"";9083;"";"";"";"";4990.0;"";"";"";"";"";NORD3;9083
4.1297;9083;-0.6696;-0.037;-5.5216;0.0;5900.0;-8810.7292;-1068.5368;-188728.3734;"";6621487;NORD3;9083
4.1297;9083;-0.6696;-0.037;-5.5216;0.0;4200.0;-6272.0445;-760.6533;-134349.0116;"";6621487;NORD3;9083
3.7001;9083;-0.5067;-0.0023;-6.0283;0.0;5500.0;-10854.8967;-912.3704;119403.8639;"";6621487;NORD3;9083
3.7001;9083;-0.5067;-0.0023;-6.0283;0.0;5000.0;-9868.0879;-829.4277;108548.9672;"";6621487;NORD3;9083
3.7733;9083;-1.0774;-0.1616;-6.6006;0.0;5000.0;-4640.7955;-757.5032;229912.7431;"";6621487;NORD3;9083
3.7733;9083;-1.0774;-0.1616;-6.6006;0.0;5000.0;-4640.7955;-757.5032;229912.7431;"";6621487;NORD3;9083
3.7733;9083;-1.0774;-0.1616;-6.6006;0.0;6950.0;-6450.7057;-1052.9295;319578.7128;"";6621487;NORD3;9083
3.7733;9083;-1.0774;-0.1616;-6.6006;0.0;4050.0;-3759.0443;-613.5776;186229.3219;"";6621487;NORD3;9083
3.7733;9083;-1.0774;-0.1616;-6.6006;0.0;5000.0;-4640.7955;-757.5032;229912.7431;"";6621487;NORD3;9083
3.7733;9083;-1.0774;-0.1616;-6.6006;0.0;4520.0;-4195.2791;-684.7829;207841.1197;"";6621487;NORD3;9083
3.7733;9083;-1.0774;-0.1616;-6.6006;0.0;4500.0;-4176.7159;-681.7529;206921.4688;"";6621487;NORD3;9083
3.7733;9083;-1.0774;-0.1616;-6.6006;0.0;3820.0;-3545.5678;-578.7324;175653.3357;"";6621487;NORD3;9083
3.764;9083;-0.9552;-0.0846;-6.6357;0.0;3800.0;-3978.1266;-572.6626;118129.815;"";6621487;NORD3;9083
3.764;9083;-0.9552;-0.0846;-6.6357;0.0;3520.0;-3685.0015;-530.4664;109425.5129;"";6621487;NORD3;9083
3.764;9083;-0.9552;-0.0846;-6.6357;0.0;3510.0;-3674.5327;-528.9594;109114.6449;"";6621487;NORD3;9083
3.764;9083;-0.9552;-0.0846;-6.6357;0.0;4500.0;-4710.9394;-678.1531;139890.5704;"";6621487;NORD3;9083
3.764;9083;-0.9552;-0.0846;-6.6357;0.0;5000.0;-5234.3771;-753.5035;155433.9671;"";6621487;NORD3;9083
3.7602;9083;-3.1236;-1.7537;-8.8424;0.0;4000.0;-1280.5661;-452.3646;13874.2525;"";6621487;NORD3;9083
3.7602;9083;-3.1236;-1.7537;-8.8424;0.0;4500.0;-1440.6368;-508.9102;15608.534;"";6621487;NORD3;9083
3.7945;9083;-2.9968;-2.0079;-9.025;0.0;3010.0;-1004.4185;-333.5176;276814.9426;"";6621487;NORD3;9083
3.7945;9083;-2.9968;-2.0079;-9.025;0.0;3500.0;-1167.9285;-387.8111;321877.8403;"";6621487;NORD3;9083
3.7945;9083;-2.9968;-2.0079;-9.025;0.0;3500.0;-1167.9285;-387.8111;321877.8403;"";6621487;NORD3;9083
3.8056;9083;-2.4283;-2.0643;-9.0289;0.0;3040.0;-1251.9013;-336.6952;-52148.4987;"";6621487;NORD3;9083
3.7649;9083;-2.5833;-2.0441;-9.2189;0.0;2010.0;-778.0876;-218.0297;-33609.0628;"";6621487;NORD3;9083
3.7649;9083;-2.5833;-2.0441;-9.2189;0.0;2500.0;-967.7707;-271.1813;-41802.3169;"";6621487;NORD3;9083
3.7446;9083;-0.4263;-0.3529;-9.2688;0.0;4600.0;-10789.5289;-496.2906;-70506.5745;"";6621487;NORD3;9083
3.7446;9083;-0.4263;-0.3529;-9.2688;0.0;4700.0;-11024.0839;-507.0795;-72039.3262;"";6621487;NORD3;9083
3.7988;9083;-1.1457;-0.9774;-10.1707;0.0;4700.0;-4102.4241;-462.1128;-127024.4445;"";6621487;NORD3;9083
3.7988;9083;-1.1457;-0.9774;-10.1707;0.0;4700.0;-4102.4241;-462.1128;-127024.4445;"";6621487;NORD3;9083
3.7988;9083;-1.1457;-0.9774;-10.1707;0.0;4700.0;-4102.4241;-462.1128;-127024.4445;"";6621487;NORD3;9083
3.7988;9083;-1.1457;-0.9774;-10.1707;0.0;4700.0;-4102.4241;-462.1128;-127024.4445;"";6621487;NORD3;9083
3.7828;9083;-1.1867;-0.9854;-10.2157;0.0;3800.0;-3202.0426;-371.9772;133838.567;"";6621487;NORD3;9083
3.7828;9083;-1.1867;-0.9854;-10.2157;0.0;4700.0;-3960.4211;-460.077;165537.175;"";6621487;NORD3;9083
3.7828;9083;-1.1867;-0.9854;-10.2157;0.0;6910.0;-5822.6616;-676.4111;243374.8679;"";6621487;NORD3;9083
3.7828;9083;-1.1867;-0.9854;-10.2157;0.0;7000.0;-5898.4995;-685.2211;246544.7287;"";6621487;NORD3;9083
3.7419;9083;-1.0652;-1.0203;-10.2841;0.0;7000.0;-6571.7296;-680.6627;-1495174.4839;"";6621487;NORD3;9083
3.7419;9083;-1.0652;-1.0203;-10.2841;0.0;7000.0;-6571.7296;-680.6627;-1495174.4839;"";6621487;NORD3;9083
3.7419;9083;-1.0652;-1.0203;-10.2841;0.0;7000.0;-6571.7296;-680.6627;-1495174.4839;"";6621487;NORD3;9083
3.7419;9083;-1.0652;-1.0203;-10.2841;0.0;7000.0;-6571.7296;-680.6627;-1495174.4839;"";6621487;NORD3;9083
3.7419;9083;-1.0652;-1.0203;-10.2841;0.0;7510.0;-7050.5271;-730.2539;-1604108.6248;"";6621487;NORD3;9083
3.7066;9083;-1.5551;-1.0854;-10.8239;0.0;7500.0;-4822.8758;-692.9141;-249553.5302;"";6621487;NORD3;9083
3.7066;9083;-1.5551;-1.0854;-10.8239;0.0;7500.0;-4822.8758;-692.9141;-249553.5302;"";6621487;NORD3;9083
3.7066;9083;-1.5551;-1.0854;-10.8239;0.0;7500.0;-4822.8758;-692.9141;-249553.5302;"";6621487;NORD3;9083
0.0037;9083;-0.0012;-0.0012;-0.0114;0.0;7500.0;-6083677.1931;-655107.2069;-3.046690609049E8;"";6621474257;NORD3;9083
0.0037;9083;-0.0012;-0.0012;-0.0114;0.0;6000.0;-4866941.7545;-524085.7655;-2.437352487239E8;"";6621474257;NORD3;9083
0.0037;9083;-0.0018;-0.0013;-0.0121;0.0;5500.0;-3058289.2521;-455203.595;-1.21393694711667E10;"";6621474257;NORD3;9083
0.0035;9083;-0.0022;-0.0013;-0.013;0.0;5500.0;-2543163.9954;-423515.6229;1.5833960179783E9;"";6621474257;NORD3;9083
0.0035;9083;-0.0022;-0.0013;-0.013;0.0;6000.0;-2774360.7222;-462017.0432;1.7273411105217E9;"";6621474257;NORD3;9083
0.0026;9083;-0.0022;-9.0E-4;-0.0136;0.0;5500.0;-2519064.0114;-403538.161;5.3320802948E7;"";6621474257;NORD3;9083
0.0026;9083;-0.0022;-9.0E-4;-0.0136;0.0;5500.0;-2519064.0114;-403538.161;5.3320802948E7;"";6621474257;NORD3;9083
0.0026;9083;-0.0022;-9.0E-4;-0.0136;0.0;5200.0;-2381660.5199;-381526.9886;5.04123955145E7;"";6621474257;NORD3;9083
0.0025;9083;-0.0022;-9.0E-4;-0.0137;0.0;5100.0;-2299905.9259;-373201.586;3.5925019905E8;"";6621474257;NORD3;9083
0.0025;9083;-0.0022;-9.0E-4;-0.0137;0.0;4800.0;-2164617.3421;-351248.5515;3.381178344E8;"";6621474257;NORD3;9083
0.0024;9083;-8.0E-4;-8.0E-4;-0.0138;0.0;4700.0;-5632747.3317;-340063.6946;-6.351210001612E8;"";6621474257;NORD3;9083
0.0024;9083;-8.0E-4;-8.0E-4;-0.0138;0.0;6000.0;-7190741.2746;-434123.8654;-8.107927661633E8;"";6621474257;NORD3;9083
2.3447;9083;-1.4409;0.232;-20.0214;0.0649;5.99;-4.1571;-0.2992;-9915.6214;92.2383;6621450;NORD3;9083
2.3447;9083;-1.4409;0.232;-20.0214;0.0649;5.99;-4.1571;-0.2992;-9915.6214;92.2383;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;3.0;-4.9377;-0.1481;-2483.0438;37.6219;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;3.6;-5.9252;-0.1778;-2979.6525;45.1463;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;3.09;-5.0858;-0.1526;-2557.5351;38.7505;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;2.31;-3.802;-0.1141;-1911.9437;28.9688;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;3.0;-4.9377;-0.1481;-2483.0438;37.6219;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;2.6;-4.2793;-0.1284;-2151.9713;32.6056;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;2.7;-4.4439;-0.1333;-2234.7394;33.8597;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;2.7;-4.4439;-0.1333;-2234.7394;33.8597;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;2.66;-4.3781;-0.1314;-2201.6321;33.3581;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;2.5;-4.1147;-0.1235;-2069.2031;31.3516;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;2.3;-3.7856;-0.1136;-1903.6669;28.8434;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;2.0;-3.2918;-0.0988;-1655.3625;25.0813;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;2.0;-3.2918;-0.0988;-1655.3625;25.0813;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;1.81;-2.9791;-0.0894;-1498.1031;22.6985;6621450;NORD3;9083
2.4129;9083;-0.6076;-0.2101;-20.251;0.0797;1.8;-2.9626;-0.0889;-1489.8263;22.5731;6621450;NORD3;9083
2.4185;9083;-0.6654;-0.2847;-20.4176;0.0964;1.44;-2.1641;-0.0705;9534.888;14.945;6621450;NORD3;9083
2.4229;9083;-0.4822;-0.2688;-20.5038;0.1176;1.35;-2.7995;-0.0658;2979.6525;11.4749;6621450;NORD3;9083
2.4229;9083;-0.4822;-0.2688;-20.5038;0.1176;1.36;-2.8203;-0.0663;3001.724;11.5599;6621450;NORD3;9083
2.4229;9083;-0.4822;-0.2688;-20.5038;0.1176;1.37;-2.841;-0.0668;3023.7955;11.6449;6621450;NORD3;9083
2.4554;9083;-0.7684;-0.2407;-20.9872;0.1391;1.35;-1.7569;-0.0643;357.5583;9.7057;6621450;NORD3;9083
2.4554;9083;-0.7684;-0.2407;-20.9872;0.1391;1.57;-2.0432;-0.0748;415.8271;11.2874;6621450;NORD3;9083
2.4554;9083;-0.7684;-0.2407;-20.9872;0.1391;1.6;-2.0822;-0.0762;423.7728;11.5031;6621450;NORD3;9083
2.4554;9083;-0.7684;-0.2407;-20.9872;0.1391;1.6;-2.0822;-0.0762;423.7728;11.5031;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.6;-2.0184;-0.076;460.6226;10.1673;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.6;-2.0184;-0.076;460.6226;10.1673;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;0.6;-0.7569;-0.0285;172.7335;3.8127;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.21;-1.5264;-0.0575;348.3458;7.689;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.3;-1.6399;-0.0618;374.2559;8.2609;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.25;-1.5768;-0.0594;359.8614;7.9432;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.25;-1.5768;-0.0594;359.8614;7.9432;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.25;-1.5768;-0.0594;359.8614;7.9432;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.25;-1.5768;-0.0594;359.8614;7.9432;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.25;-1.5768;-0.0594;359.8614;7.9432;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.25;-1.5768;-0.0594;359.8614;7.9432;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.25;-1.5768;-0.0594;359.8614;7.9432;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.25;-1.5768;-0.0594;359.8614;7.9432;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.17;-1.4759;-0.0556;336.8303;7.4348;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.1;-1.3876;-0.0523;316.678;6.99;6621450;NORD3;9083
2.4615;9083;-0.7927;-0.2524;-21.0436;0.1574;1.15;-1.4507;-0.0546;331.0725;7.3077;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;1.31;-1.8877;-0.0621;201.7232;7.8004;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;2.41;-3.4728;-0.1142;371.1092;14.3504;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;3.3;-4.7553;-0.1563;508.1578;19.65;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;4.3;-6.1964;-0.2037;662.145;25.6045;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;6.3;-9.0784;-0.2984;970.1194;37.5136;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;7.16;-10.3176;-0.3392;1102.5484;42.6345;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;5.0;-7.2051;-0.2368;769.936;29.7727;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;5.0;-7.2051;-0.2368;769.936;29.7727;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;4.65;-6.7007;-0.2203;716.0405;27.6886;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;3.79;-5.4614;-0.1795;583.6115;22.5677;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;4.01;-5.7785;-0.1899;617.4887;23.8777;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;4.01;-5.7785;-0.1899;617.4887;23.8777;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;3.45;-4.9715;-0.1634;531.2559;20.5432;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;3.44;-4.9571;-0.1629;529.716;20.4836;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;3.05;-4.3951;-0.1445;469.661;18.1614;6621450;NORD3;9083
2.4578;9083;-0.694;-0.167;-21.1115;0.1679;3.0;-4.323;-0.1421;461.9616;17.8636;6621450;NORD3;9083
