assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;25.72;-64.3528;5.48;-51.0775;1.4407;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;26.41;-66.0792;5.627;-52.4478;1.4794;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;25.5;-63.8024;5.4331;-50.6406;1.4284;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;25.61;-64.0776;5.4565;-50.8591;1.4346;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;28.0;-70.0575;5.9658;-55.6054;1.5685;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;28.34;-70.9082;6.0382;-56.2806;1.5875;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;27.54;-68.9066;5.8678;-54.6919;1.5427;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;27.09;-67.7806;5.7719;-53.7982;1.5175;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;27.43;-68.6313;5.8443;-54.4734;1.5365;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;27.2;-68.0559;5.7953;-54.0167;1.5236;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;27.2;-68.0559;5.7953;-54.0167;1.5236;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;26.98;-67.5054;5.7484;-53.5798;1.5113;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;26.86;-67.2052;5.7229;-53.3415;1.5046;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;26.75;-66.9299;5.6994;-53.123;1.4984;319177004;PMAM3;9393
14.1743;9393;-0.3997;0.1274;4.6934;17.8519;26.75;-66.9299;5.6994;-53.123;1.4984;319177004;PMAM3;9393
