assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
43.1837;94;1.5287;2.457;23.8447;22.7595;19.86;12.9914;0.8329;50.785;0.8726;17838675;PATI3;94
43.1837;94;1.5287;2.457;23.8447;22.7595;19.86;12.9914;0.8329;50.785;0.8726;17838675;PATI3;94
43.1837;94;1.5287;2.457;23.8447;22.7595;21.33;13.953;0.8945;54.544;0.9372;17838675;PATI4;94
43.1837;94;1.5287;2.457;23.8447;22.7595;21.33;13.953;0.8945;54.544;0.9372;17838675;PATI4;94
43.1837;94;1.5287;2.457;23.8447;22.7595;19.86;12.9914;0.8329;50.785;0.8726;17838675;PATI3;94
43.1837;94;1.5287;2.457;23.8447;22.7595;20.81;13.6129;0.8727;53.2143;0.9143;17838675;PATI3;94
43.1837;94;1.5287;2.457;23.8447;22.7595;20.15;13.1811;0.8451;51.5266;0.8853;17838675;PATI3;94
43.1837;94;1.5287;2.457;23.8447;22.7595;21.76;14.2343;0.9126;55.6436;0.9561;17838675;PATI3;94
43.1837;94;1.5287;2.457;23.8447;22.7595;21.76;14.2343;0.9126;55.6436;0.9561;17838675;PATI3;94
43.1837;94;1.5287;2.457;23.8447;22.7595;21.59;14.1231;0.9054;55.2089;0.9486;17838675;PATI4;94
43.1837;94;1.5287;2.457;23.8447;22.7595;21.59;14.1231;0.9054;55.2089;0.9486;17838675;PATI4;94
43.1837;94;1.5287;2.457;23.8447;22.7595;20.81;13.6129;0.8727;53.2143;0.9143;17838675;PATI3;94
43.2946;94;1.3324;2.3238;23.855;22.5415;20.02;15.0257;0.8392;20.383;0.8881;17838675;PATI4;94
43.2946;94;1.3324;2.3238;23.855;22.5415;20.34;15.2658;0.8527;20.7088;0.9023;17838675;PATI3;94
43.2946;94;1.3324;2.3238;23.855;22.5415;19.91;14.9431;0.8346;20.271;0.8833;17838675;PATI3;94
43.2946;94;1.3324;2.3238;23.855;22.5415;21.26;15.9563;0.8912;21.6455;0.9432;17838675;PATI4;94
43.2946;94;1.3324;2.3238;23.855;22.5415;20.76;15.5811;0.8703;21.1364;0.921;17838675;PATI3;94
43.2946;94;1.3324;2.3238;23.855;22.5415;20.76;15.5811;0.8703;21.1364;0.921;17838675;PATI3;94
43.2946;94;1.3324;2.3238;23.855;22.5415;19.96;14.9806;0.8367;20.3219;0.8855;17838675;PATI3;94
