assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
"";9415;"";"";"";"";30.0;"";"";"";"";"";AHEB3;9415
"";9415;"";"";"";"";30.0;"";"";"";"";"";AHEB6;9415
"";9415;"";"";"";"";29.99;"";"";"";"";"";AHEB5;9415
"";9415;"";"";"";"";35.0;"";"";"";"";"";AHEB3;9415
"";9415;"";"";"";"";31.01;"";"";"";"";"";AHEB5;9415
1463.7111;9415;28.1012;55.0986;358.0872;655.7904;21.0;0.7473;0.0586;-0.4543;0.032;196575;AHEB5;9415
1399.532;9415;19.2293;55.6429;355.0451;957.9855;35.0;1.8201;0.0986;0.7083;0.0365;196575;AHEB5;9415
1437.136;9415;-24.0773;-18.9495;379.4277;1074.6382;35.0;-1.4536;0.0922;-7.5193;0.0326;196575;AHEB6;9415
1437.136;9415;-24.0773;-18.9495;379.4277;1074.6382;35.0;-1.4536;0.0922;-7.5193;0.0326;196575;AHEB5;9415
1362.864;9415;-45.4229;-53.8777;360.4985;1038.3009;35.01;-0.7708;0.0971;-5.5145;0.0337;196575;AHEB3;9415
1362.864;9415;-45.4229;-53.8777;360.4985;1038.3009;35.01;-0.7708;0.0971;-5.5145;0.0337;196575;AHEB6;9415
1362.864;9415;-45.4229;-53.8777;360.4985;1038.3009;35.01;-0.7708;0.0971;-5.5145;0.0337;196575;AHEB5;9415
1444.0392;9415;-66.3767;-49.8487;287.4272;953.6258;26.0;-0.3917;0.0905;-0.8896;0.0273;196575;AHEB3;9415
1444.0392;9415;-66.3767;-49.8487;287.4272;953.6258;26.0;-0.3917;0.0905;-0.8896;0.0273;196575;AHEB5;9415
1267.1966;9415;8.873;31.4895;303.2427;920.72;19.5;2.1977;0.0643;1.597;0.0212;216612;AHEB3;9415
1267.1966;9415;8.873;31.4895;303.2427;920.72;20.0;2.254;0.066;1.6379;0.0217;216612;AHEB5;9415
1255.9184;9415;-23.0458;-2.2852;287.3617;869.6286;20.0;-0.8678;0.0696;1.8279;0.023;216612;AHEB5;9415
1255.9184;9415;-23.0458;-2.2852;287.3617;869.6286;20.0;-0.8678;0.0696;1.8279;0.023;216612;AHEB5;9415
1376.752;9415;9.9256;12.6678;316.0305;858.4427;19.99;2.014;0.0633;0.2266;0.0233;216612;AHEB5;9415
1385.1956;9415;1.902;3.9379;384.6232;836.1356;20.01;10.5204;0.052;0.316;0.0239;216612;AHEB5;9415
91.3085;9415;2.6678;3.6227;23.7999;39.8278;19.49;7.3055;0.8189;8.1411;0.4894;5178719;AHEB3;9415
91.3085;9415;2.6678;3.6227;23.7999;39.8278;15.0;5.6225;0.6303;6.2656;0.3766;5178719;AHEB3;9415
91.3085;9415;2.6678;3.6227;23.7999;39.8278;10.0;3.7483;0.4202;4.1771;0.2511;5178719;AHEB6;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.01;-4.5163;1.0201;-7.6511;0.5705;5178719;AHEB5;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.01;-4.5163;1.0201;-7.6511;0.5705;5178719;AHEB5;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.01;-4.5163;1.0201;-7.6511;0.5705;5178719;AHEB5;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB6;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB6;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB6;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB3;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB3;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB3;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB5;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB5;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB5;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB6;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB6;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB6;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB3;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB3;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.02;-4.5185;1.0206;-7.6549;0.5708;5178719;AHEB3;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.05;-4.5253;1.0221;-7.6664;0.5716;5178719;AHEB5;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.05;-4.5253;1.0221;-7.6664;0.5716;5178719;AHEB5;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.05;-4.5253;1.0221;-7.6664;0.5716;5178719;AHEB5;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.05;-4.5253;1.0221;-7.6664;0.5716;5178719;AHEB3;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.05;-4.5253;1.0221;-7.6664;0.5716;5178719;AHEB3;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.05;-4.5253;1.0221;-7.6664;0.5716;5178719;AHEB3;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.05;-4.5253;1.0221;-7.6664;0.5716;5178719;AHEB6;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.05;-4.5253;1.0221;-7.6664;0.5716;5178719;AHEB6;9415
54.4957;9415;-4.4306;-5.1517;19.6164;35.0751;20.05;-4.5253;1.0221;-7.6664;0.5716;5178719;AHEB6;9415
52.5974;9415;-5.7408;-5.3029;23.1022;36.5799;25.06;-4.3652;1.0847;-6.2391;0.6851;5178719;AHEB3;9415
52.5974;9415;-5.7408;-5.3029;23.1022;36.5799;30.0;-5.2258;1.2986;-7.4689;0.8201;5178719;AHEB3;9415
52.5974;9415;-5.7408;-5.3029;23.1022;36.5799;30.0;-5.2258;1.2986;-7.4689;0.8201;5178719;AHEB6;9415
52.5974;9415;-5.7408;-5.3029;23.1022;36.5799;30.0;-5.2258;1.2986;-7.4689;0.8201;5178719;AHEB5;9415
52.4228;9415;-2.8434;-2.2355;20.0391;38.3462;60.0;-21.1017;2.9941;-12.5201;1.5647;5178719;AHEB6;9415
52.4228;9415;-2.8434;-2.2355;20.0391;38.3462;78.99;-27.7804;3.9418;-16.4827;2.0599;5178719;AHEB5;9415
52.4228;9415;-2.8434;-2.2355;20.0391;38.3462;60.0;-21.1017;2.9941;-12.5201;1.5647;5178719;AHEB3;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;60.0;-4.5406;5.7525;-19.1733;1.6803;5178719;AHEB6;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;60.0;-4.5406;5.7525;-19.1733;1.6803;5178719;AHEB5;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;65.0;-4.919;6.2319;-20.7711;1.8204;5178719;AHEB6;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;71.01;-5.3738;6.8081;-22.6916;1.9887;5178719;AHEB5;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;71.01;-5.3738;6.8081;-22.6916;1.9887;5178719;AHEB5;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;84.99;-6.4318;8.1485;-27.159;2.3802;5178719;AHEB5;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;87.01;-6.5846;8.3421;-27.8045;2.4368;5178719;AHEB6;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;91.0;-6.8866;8.7247;-29.0796;2.5485;5178719;AHEB3;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;87.02;-6.5854;8.3431;-27.8077;2.4371;5178719;AHEB6;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;82.0;-6.2055;7.8618;-26.2036;2.2965;5178719;AHEB6;9415
51.4826;9415;-13.2141;-12.0933;10.4302;35.7071;84.99;-6.4318;8.1485;-27.159;2.3802;5178719;AHEB5;9415
50.9809;9415;-13.3365;-12.0176;7.4982;32.3101;85.0;-6.3735;11.3361;-179.5233;2.6308;5178719;AHEB6;9415
50.9809;9415;-13.3365;-12.0176;7.4982;32.3101;85.0;-6.3735;11.3361;-179.5233;2.6308;5178719;AHEB5;9415
50.0228;9415;-14.0523;-12.8184;7.7369;29.901;85.0;-6.0488;10.9864;-71.4596;2.8427;5178719;AHEB5;9415
50.0228;9415;-14.0523;-12.8184;7.7369;29.901;85.0;-6.0488;10.9864;-71.4596;2.8427;5178719;AHEB6;9415
50.0228;9415;-14.0523;-12.8184;7.7369;29.901;80.0;-5.693;10.3401;-67.2561;2.6755;5178719;AHEB6;9415
51.7788;9415;-16.8391;-15.7925;9.2432;24.754;113.5;-6.7403;12.2793;-42.951;4.5851;5178719;AHEB3;9415
51.7788;9415;-16.8391;-15.7925;9.2432;24.754;95.61;-5.6779;10.3438;-36.181;3.8624;5178719;AHEB5;9415
51.7788;9415;-16.8391;-15.7925;9.2432;24.754;119.0;-7.0669;12.8743;-45.0323;4.8073;5178719;AHEB3;9415
51.7788;9415;-16.8391;-15.7925;9.2432;24.754;136.0;-8.0764;14.7135;-51.4655;5.4941;5178719;AHEB3;9415
55.0569;9415;-4.0653;-3.2031;16.908;22.7236;80.0;-19.6788;4.7315;-14.8022;3.5206;5178719;AHEB6;9415
55.0569;9415;-4.0653;-3.2031;16.908;22.7236;120.0;-29.5182;7.0972;-22.2032;5.2809;5178719;AHEB3;9415
55.0569;9415;-4.0653;-3.2031;16.908;22.7236;120.0;-29.5182;7.0972;-22.2032;5.2809;5178719;AHEB3;9415
53.665;9415;-4.7593;-4.0944;13.8708;22.4758;120.0;-25.2139;8.6513;-16.3547;5.3391;5178719;AHEB3;9415
53.665;9415;-4.7593;-4.0944;13.8708;22.4758;155.01;-32.57;11.1753;-21.1262;6.8967;5178719;AHEB3;9415
34.6045;9415;-3.6782;-3.271;7.624;15.2459;150.0;-40.7808;19.6747;-37.8479;9.8387;7522153;AHEB3;9415
34.6045;9415;-3.6782;-3.271;7.624;15.2459;150.0;-40.7808;19.6747;-37.8479;9.8387;7522153;AHEB3;9415
34.6045;9415;-3.6782;-3.271;7.624;15.2459;150.0;-40.7808;19.6747;-37.8479;9.8387;7522153;AHEB3;9415
34.6045;9415;-3.6782;-3.271;7.624;15.2459;150.0;-40.7808;19.6747;-37.8479;9.8387;7522153;AHEB3;9415
34.6045;9415;-3.6782;-3.271;7.624;15.2459;150.0;-40.7808;19.6747;-37.8479;9.8387;7522153;AHEB3;9415
34.6045;9415;-3.6782;-3.271;7.624;15.2459;150.0;-40.7808;19.6747;-37.8479;9.8387;7522153;AHEB3;9415
34.6045;9415;-3.6782;-3.271;7.624;15.2459;150.0;-40.7808;19.6747;-37.8479;9.8387;7522153;AHEB3;9415
34.6045;9415;-3.6782;-3.271;7.624;15.2459;150.0;-40.7808;19.6747;-37.8479;9.8387;7522153;AHEB3;9415
35.7473;9415;-4.5903;-4.2596;9.4032;14.2918;75.0;-16.3388;7.976;-14.6277;5.2478;7522153;AHEB3;9415
35.7473;9415;-4.5903;-4.2596;9.4032;14.2918;75.0;-16.3388;7.976;-14.6277;5.2478;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;40.0;-5.4665;7.5129;-7.5225;3.8521;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;40.0;-5.4665;7.5129;-7.5225;3.8521;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;40.0;-5.4665;7.5129;-7.5225;3.8521;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;40.2;-5.4938;7.5505;-7.5601;3.8713;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;40.19;-5.4924;7.5486;-7.5583;3.8704;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;39.0;-5.3298;7.3251;-7.3345;3.7558;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;39.99;-5.4651;7.5111;-7.5206;3.8511;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;38.57;-5.2711;7.2444;-7.2536;3.7144;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;35.0;-4.7832;6.5738;-6.5822;3.3706;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;40.0;-5.4665;7.5129;-7.5225;3.8521;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;41.0;-5.6031;7.7008;-7.7106;3.9484;7522153;AHEB3;9415
33.9358;9415;-7.3173;-6.9661;5.3241;10.384;60.0;-8.1997;11.2694;-11.2838;5.7781;7522153;AHEB3;9415
