assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker
26.3874;13986;0.9131;1.3442;10.4954;8.0377;19.58;21.443;1.8656;6.1836;2.436;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;19.18;21.0049;1.8275;6.0573;2.3863;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;18.76;20.545;1.7875;5.9246;2.334;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;19.05;20.8626;1.8151;6.0162;2.3701;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;19.42;21.2678;1.8503;6.133;2.4161;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;19.62;21.4868;1.8694;6.1962;2.441;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;18.86;20.6545;1.797;5.9562;2.3465;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;18.59;20.3588;1.7713;5.8709;2.3129;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;18.43;20.1836;1.756;5.8204;2.293;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;18.22;19.9536;1.736;5.7541;2.2668;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.65;19.3294;1.6817;5.5741;2.1959;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.29;18.9351;1.6474;5.4604;2.1511;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;16.84;18.4423;1.6045;5.3183;2.0951;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.06;18.6832;1.6255;5.3877;2.1225;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;16.82;18.4204;1.6026;5.3119;2.0926;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.14;18.7708;1.6331;5.413;2.1325;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;18.17;19.8988;1.7312;5.7383;2.2606;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;18.0;19.7127;1.715;5.6846;2.2395;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;18.07;19.7893;1.7217;5.7067;2.2482;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.78;19.4717;1.6941;5.6151;2.2121;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.75;19.4389;1.6912;5.6056;2.2084;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.41;19.0665;1.6588;5.4983;2.1661;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.49;19.1541;1.6664;5.5235;2.176;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.57;19.2418;1.6741;5.5488;2.186;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.63;19.3075;1.6798;5.5677;2.1934;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.3;18.9461;1.6483;5.4635;2.1524;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.8;19.4936;1.696;5.6214;2.2146;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;18.25;19.9865;1.7389;5.7635;2.2706;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.93;19.636;1.7084;5.6625;2.2307;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.78;19.4717;1.6941;5.6151;2.2121;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.82;19.5155;1.6979;5.6277;2.2171;1105826158;SUZB3
26.3874;13986;0.9131;1.3442;10.4954;8.0377;17.98;19.6908;1.7131;5.6783;2.237;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;18.07;11.0556;1.7194;5.0611;2.1263;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;17.94;10.9761;1.707;5.0247;2.111;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;17.99;11.0067;1.7118;5.0387;2.1169;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;17.94;10.9761;1.707;5.0247;2.111;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;18.37;11.2392;1.748;5.1452;2.1616;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;18.57;11.3615;1.767;5.2012;2.1851;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;18.67;11.4227;1.7765;5.2292;2.1969;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;18.6;11.3799;1.7698;5.2096;2.1887;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;18.54;11.3432;1.7641;5.1928;2.1816;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;18.73;11.4594;1.7822;5.246;2.204;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;18.7;11.4411;1.7794;5.2376;2.2004;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;18.9;11.5634;1.7984;5.2936;2.224;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.2;12.3588;1.9221;5.6577;2.3769;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.39;12.475;1.9402;5.7109;2.3993;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.5;12.5423;1.9506;5.7417;2.4122;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.29;12.4139;1.9307;5.6829;2.3875;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.09;12.2915;1.9116;5.6269;2.364;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;19.81;12.1202;1.885;5.5485;2.331;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;19.69;12.0468;1.8736;5.5149;2.3169;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.26;12.3955;1.9278;5.6745;2.384;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;19.87;12.1569;1.8907;5.5653;2.3381;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.23;12.3771;1.9249;5.6661;2.3805;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.39;12.475;1.9402;5.7109;2.3993;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.26;12.3955;1.9278;5.6745;2.384;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.12;12.3098;1.9145;5.6353;2.3675;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.1;12.2976;1.9126;5.6297;2.3652;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;19.12;11.698;1.8193;5.3552;2.2498;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;19.16;11.7225;1.8231;5.3664;2.2545;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;19.55;11.9611;1.8602;5.4757;2.3004;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;19.52;11.9428;1.8574;5.4673;2.2969;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.53;12.5607;1.9535;5.7501;2.4158;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;21.25;13.0012;2.022;5.9518;2.5005;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;21.95;13.4295;2.0886;6.1479;2.5828;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;21.93;13.4172;2.0867;6.1423;2.5805;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;21.31;13.0379;2.0277;5.9686;2.5075;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;21.31;13.0379;2.0277;5.9686;2.5075;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.77;12.7075;1.9763;5.8174;2.444;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.64;12.628;1.964;5.781;2.4287;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.92;12.7993;1.9906;5.8594;2.4616;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.45;12.5117;1.9459;5.7277;2.4063;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.97;12.8299;1.9954;5.8734;2.4675;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.6;12.6035;1.9602;5.7698;2.424;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;20.83;12.7442;1.982;5.8342;2.4511;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;21.12;12.9217;2.0096;5.9154;2.4852;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;21.89;13.3928;2.0829;6.1311;2.5758;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;22.26;13.6191;2.1181;6.2347;2.6193;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;21.27;13.0134;2.0239;5.9574;2.5028;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;21.88;13.3867;2.0819;6.1283;2.5746;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;23.09;14.127;2.1971;6.4672;2.717;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;22.51;13.7721;2.1419;6.3047;2.6487;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;27.42;16.7761;2.6091;7.6799;3.2265;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;29.44;18.012;2.8013;8.2457;3.4642;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;29.29;17.9202;2.787;8.2037;3.4465;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;30.56;18.6973;2.9079;8.5594;3.596;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;31.26;19.1255;2.9745;8.7555;3.6783;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;31.93;19.5355;3.0382;8.9431;3.7572;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;32.91;20.135;3.1315;9.2176;3.8725;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;31.77;19.4376;3.023;8.8983;3.7384;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;32.18;19.6884;3.062;9.0131;3.7866;1105826158;SUZB3
25.5825;13986;1.6345;2.7602;10.5094;8.4984;32.09;19.6333;3.0535;8.9879;3.776;1105826158;SUZB3
26.8304;13986;1.9627;3.3447;11.2654;9.1883;32.25;16.4314;2.8628;11.5823;3.5099;1105826158;SUZB3
26.8304;13986;1.9627;3.3447;11.2654;9.1883;33.09;16.8594;2.9373;11.884;3.6013;1105826158;SUZB3
26.8304;13986;1.9627;3.3447;11.2654;9.1883;34.52;17.588;3.0643;12.3975;3.757;1105826158;SUZB3
26.8304;13986;1.9627;3.3447;11.2654;9.1883;35.11;17.8886;3.1166;12.6094;3.8212;1105826158;SUZB3
