data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1924-01-02;12823;Siderurgica Jl Aliperti S.a.;Aliperti;61156931000178;APTI;Consumo Nao Ciclico;Agropecuaria;Agricultura;Fabricação de Peças E Acessórios Para O Sistema de Direção E Suspensão de Veículos Automotores;Sim;http://www.aliperti.com.br
1962-11-01;19658;Pomi Frutas S.a.;Pomi Frutas;86550951000150;FRTA;Consumo Nao Ciclico;Agropecuaria;Agricultura;Pomicultura Produção. Comercialização E Exportação;Sim;http://www.pomifrutas.com.br
2005-09-23;20036;Brasilagro Companhia Brasileira De Propriedades Agricolas;Brasilagro;07628528000159;AGRO;Consumo Nao Ciclico;Agropecuaria;Agricultura;Empresa de Desenvolvimento Agropecuario;Sim;http://www.brasil-agro.com
"";20354;Terra Santa Agro S.a.;Terra Santa;"";TESA;Consumo Nao Ciclico;Agropecuaria;Agricultura;- Produção E Comércio de Produtos Vegetais (soja. Milho E Algodão) - Industrialização E Comércio de Biocombustíveis. óleo Vegetal E Subprodutos;Sim;http://www.terrasantaagro.com
1977-07-21;20745;Slc Agricola S.a.;Slc Agricola;89096457000155;SLCE;Consumo Nao Ciclico;Agropecuaria;Agricultura;Produção E Comercialização de Algodão. Soja. Milho. Entre Outros.;Sim;http://www.slcagricola.com.br
2004-08-10;23981;Ctc - Centro De Tecnologia Canavieira S.a.;Ctc S.a.;06981381000113;CTCA;Consumo Nao Ciclico;Agropecuaria;Agricultura;Com Sua Atuação em Biotecnologia E Melhoramento Genético O Ctc Busca Busca Promover O Aumento Da Produtividade. A Redução de Custos E Soluções Agrícolas E Industriais Para O Setor Sucroenergético.;Sim;http://www.ctc.com.br
2014-10-02;25658;Agrogalaxy Participacoes S.a.;Agrogalaxy;21240146000184;AGXY;Consumo Nao Ciclico;Agropecuaria;Agricultura;Comércio de Insumos Agrícolas (fertilizantes. Defensivos Biológicos. Inoculantes E Sementes) E de Grãos;Sim;""
2009-04-07;25704;Boa Safra Sementes S.a.;Boa Safra Sementes;10807374000177;SOJA;Consumo Nao Ciclico;Agropecuaria;Agricultura;Produção de Sementes Certificadas. Exceto de Forrageiras Para Pasto. comércio Atacadista de Sementes. Flores. Plantas E Gramas.;Sim;""
1961-08-11;25917;Raizen S.a.;Raizen;33453598000123;RAIZ;Consumo Nao Ciclico;Agropecuaria;Agricultura;Distribuição E Venda de Etanol E de Petróleo. Combustíveis E Outros Hidrocarbonetos Fluidos E Seus Subprodutos. Bem Como Itens Necessários Para O Desemprenho de Tais Atividades.;Sim;""
2013-07-15;25933;Humberg Agribrasil Comercio E Exportacao De Graos S.a;Agribrasil;18483666000103;GRAO;Consumo Nao Ciclico;Agropecuaria;Agricultura;Venda. Compra. Revenda E Distribuição de Produtos In Natura de Origem Vegetal (cereais E Grãos). A Granel Ou em Contêineres. No/para O Mercado Interno E Externo.;Sim;""
2011-07-27;25950;3 Tentos Agroindustrial S.a.;3tentos;94813102000170;TTEN;Consumo Nao Ciclico;Agropecuaria;Agricultura;"Varejo de Insumos Agrícolas; Recebimento E Comercialização de Grãos de Soja. Milho E Trigo; E Indústria. Na Cadeia de Soja.";Sim;http://www.3tentos.com.br
2021-01-11;26000;Terra Santa Propriedades Agricolas S.a.;Terra Santa;40337136000106;LAND;Consumo Nao Ciclico;Agropecuaria;Agricultura;Aquisição. Administração E Arrendamento de Propriedades Rurais Com Potencial de Geração de Valor Por Meio Da Valorização de Terras E Da Receita de Arrendamento Das Mesmas.;Sim;""
