data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1911-02-11;1520;Bardella S.a. Industrias Mecanicas;Bardella;60851615000153;BDLL;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;Bens de Capital. Produtos E Serviços Para Os Segmentos de Metalurgia. Movimentação de Materiais. óleo E Gás. Energia E Aços Laminados E Trefilados. Para Os Mercados Nacionais E Internacional;Sim;http://www.bardella.com.br
1924-03-08;5380;Electro Aco Altona S.a.;Electro Aco Altona;82643537000134;EALT;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;Fundição de Ferro E Aço;Sim;http://www.altona.com.br
1938-04-19;7510;Industrias Romi S.a.;Industrias Romi;56720428000163;ROMI;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;Indústria E Comércio de Máquinas-ferramenta;Sim;http://www.romi.com
1968-05-01;7595;Inepar S.a. Industria E Construcoes;Inepar;76627504000106;INEP;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;Fabricação de Equipamentos E Sistemas Elétricos . Fabricação de Torres E Acessórios Para Transmissão de Energia E Telecomunicações. Fabricação de Bens de Capital E Sitemas Industriais Sob Encomenda.;Sim;http://www.inepar.com.br
1935-01-01;7870;Kepler Weber S.a.;Kepler Weber;91983056000169;KEPL;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;Indústria E Comércio de Produtos E Matérias Primas Relacionadas A Metalurgia. Importação E Exportação. Prestação de Serviços. Comércio de Produtos Destinados A Agroindústria.;Sim;http://www.kepler.com.br
1956-08-23;9083;Nordon Industrias Metalurgicas S.a.;Nordon;60884319000159;NORD;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;A Sociedade Tem Como Atividade Operacional Preponderante A Produção de Bens de Capital Destinados Ao Mercado Interno E Externo Para Os Setores Químico. Petrolífero. Petroquímico. Criogenia. Alimentíci;Sim;http://www.nordon.ind.br
1960-01-01;20613;Metalfrio Solutions S.a.;Metalfrio;04821041000108;FRIO;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;Fabricação E Comercialiazação de Geladeiras E Similares. de Máquinas de Vendas Automáticas. Componentes E Peças;Sim;http://www.metalfrio.com.br
1980-12-01;22012;Mills Estruturas E Servicos De Engenharia S.a.;Mills;27093558000115;MILS;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;Locação de Máquinas E Equipamentos Pesados / Bens Industriais / Construção E Engenharia / Serviços de Transporte E Logística;Sim;http://www.mills.com.br
2006-12-20;24546;Pratica Klimaquip Industria E Comercio S.a.;Pratica;08574411000100;PTCA;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;"A Companhia Tem Por Objeto Social: (i) A Fabricação de Fornos E Equipamentos Voltados Para Os Mercados de Panificação E Gastronómico; E (ii) A Participação Societária em Outras Companhias.";Sim;http://ri.praticafornos.com.br
2020-08-17;25283;Aeris Industria E Comercio De Equipamentos Para Geracao De Energia S.a.;Aeris;12528708000107;AERI;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;Exploração de Negócio de Construção E Comercialização de Pás de Rotores Para Turbinas Utilizadas Na Geração Eólica de Energia.;Sim;""
1994-10-05;26069;Armac Locacao, Logistica E Servicos S.a.;Armac;00242184000104;ARML;Bens Industriais;Maquinas E Equipamentos;Maquinas E Equipamentos Industriais;Locação de Máquinas E Equipamentos Pesados;Sim;""
